text,label
 india scientists found hiv gene embedded covid chinas bioweapon,False
 rt india scales new heights testing lakh tests conducted last hours,True
 offered testing kits available give us refused want buy,False
 google india covid website inform online security risks,True
 additional significant cluster matamata closed means four significant clusters remain open cluster considered closed new cases two incubation periods ie days date cases completed isolation,True
 gilead study remdesivir pediatric covid patients,True
 video shows italian governmentbrisbane police used zombie robotsdrones chase citizen make stay home,False
 rt hot outside visiting cooling center follow safety tips protect practice,True
 statewise details total confirmed cases till august states confirmed cases states confirmed cases states confirmed cases total confirmed cases far,True
 woman moves beyond breadmaking stage lockdown breaks ground mill apartment,False
 number people going hungry making things worse published today estimates approximately million people went hungry,True
 image baby born deformities claims baby suffering coronavirus,False
 catholic diocese london closes churches region,True
 consuming onion salt followed glass water cure coronavirus,False
 ottawas photos week,True
 june scientific study proving masks protect novel coronavirus,False
 nwt online stem challenge gives kids fun educational activity covid restrictions,True
 uk recorded deaths people confirmed cases today according government figures,True
 home gyms struggle retain members earlypandemic trial period ends,False
 people violate social distancing protocol temple festival alappuzha india,False
 july samples tested daily samples tested available media bulletin,True
 singapore closed subway station case covid,False
 social security system sss philippines approved financial aid worth p every member assist affected novel coronavirus pandemic,False
 health insurance industry agreed waive copayments coronavirus treatments,False
 video caption doesnt want wait another days shows guy falling building grabbing high tension wire,False
 virtual group gatherings bingo surged lockdown,True
 popping bubble wrap exposes people coronavirus,False
 recovery rate reaches record high recovery rate improved last days,True
 testing status update stated samples tested upto september samples tested september,True
 travel public transport kyiv rise lockdown lifted,False
 daily update published weve tracked completed tests k reported last hours note think capturing roughly tests completed statebystate details see,True
 video dead bodies black bags allegedly hospitals madrid barcelona new york,False
 new report shows young previously healthy adults take long time recover study found nearly adults ages milder outpatient covid returned usual health days,True
 pandemic chickens demand farm birds spikes covid outbreak,True
 jobcenters unemployed people close today germany,False
 liberal mp kamal khera pleads people stay home testing positive covid,True
 looked result pm et lock time picked number wed published daily number updated number got committed daily update see,True
 spanish singer miguel bos accused gates foundation expelled india vaccines,False
 video clip indian prime minister narendra modi admitting covid pandemic soldier god admits erred assaulting muslims country,False
 health authorities recommend shaving beard covid crisis,False
 medical center el cachorro sevilla closed due possible coronavirus infected person,False
 nb coronavirus roundup international travellers barred longterm care homes,True
 many instances mask orders shutdowns distancing,True
 church services cant resume vaccinated says bill gates,False
 schools businesses reopening quebec police still issuing k fines gathering,True
 albertans diagnosed covid younger end hospital less often likely,True
 doctor named leslie chow discovered coronavirus died contact coronavirus patients,False
 govt spraying medicine air kill covid fake,False
 prime minister ana brnabic claimed number respirators state secret countries,False
 coronavirus settle air grounded unicef,False
 cal cunningham criticized paycheck protection program company benefitted,True
 hotel still tested last day half tests coming mostly today one leave managed isolation facilities unless negative test day day testing full swing,True
 beautiful heartwarming messages give encouragement healthcare workers,True
 movie venom predicted epidemic,False
 indian prime minister narendra modi selected leader international covid task force,False
 facebook posts claims asian hong kong swine bird flus killed people coronavirus,False
 still tv show used claim medics died italy,False
 text titled terrible face mask circulates internet spanish among things says use masks catastrophic consequences health,False
 states track contain covid according model states headed right direction covid spreading slow controlled fashion states low infection growth rates adequate testing sufficient icu capacity,True
 obvious large numbers new cases states due testing florida georgia positivity rates well beyond arizona higher positivity rate florida right,True
 television news report us biotech company runs alongside claim company successfully created vaccine covid within three hours,False
 sudbury health unit planning possible pandemic covid,True
 wuhan spelled backwards nahuw way jos coronavirus didnt start,False
 michigan first death coronavirus,True
 lionel messi said planetary coup detat coronavirus pandemic,False
 maintain social distancing indoors theres reason additional mask top,False
 european patent b vaccine new coronavirus,False
 nobel prize laureate claims new coronavirus created laboratory genome contained sequences hiv,False
 social media rumor claims google apple put covid tracker every phone thats whole story technology aimed helping contact tracers slow spread coronavirus must opt feature,False
